latitude, longitude, datanum, time, pressure, altitude, temperature
43.748901, -79.189888, 1, 13:27:07, 424.50, 105.81, 26.19
43.748767, -79.189933, 2, 13:27:38, 423.75, 105.81, 26.19
43.748634, -79.190055, 3, 13:28:09, 421.75, 105.37, 26.19
43.748508, -79.190254, 4, 13:28:40, 409.75, 102.12, 26.19
43.748420, -79.190292, 5, 13:29:10, 400.25, 100.06, 26.19
43.748317, -79.190071, 6, 13:29:41, 382.25, 95.81, 26.12
43.748157, -79.189720, 7, 13:30:12, 368.50, 92.12, 26.12
43.748111, -79.189590, 8, 13:30:43, 364.50, 91.06, 26.06
43.747940, -79.189338, 9, 13:31:14, 355.00, 88.44, 25.94
43.747711, -79.189109, 10, 13:31:44, 338.50, 84.31, 25.87
43.747543, -79.188804, 11, 13:32:15, 320.75, 80.00, 25.81
43.747554, -79.188789, 12, 13:32:46, 313.50, 78.50, 25.75
43.747455, -79.188705, 13, 13:33:17, 313.00, 78.12, 25.69
43.747394, -79.188758, 14, 13:33:48, 311.50, 77.87, 25.62
43.747386, -79.188667, 15, 13:34:19, 307.75, 76.75, 25.62
43.747402, -79.188514, 16, 13:34:49, 302.75, 75.50, 25.62
43.747463, -79.188209, 17, 13:35:20, 295.00, 73.87, 25.62
43.747505, -79.188049, 18, 13:35:51, 292.50, 73.37, 25.56
43.747596, -79.187690, 19, 13:36:22, 285.00, 71.06, 25.56
43.747726, -79.187362, 20, 13:36:53, 278.75, 69.44, 25.50
43.747768, -79.187026, 21, 13:37:24, 270.00, 67.50, 25.44
43.747810, -79.186714, 22, 13:37:54, 264.75, 65.87, 25.37
43.747890, -79.186431, 23, 13:38:25, 259.50, 65.31, 25.31
43.747879, -79.186378, 24, 13:38:56, 259.25, 64.44, 25.31
43.747833, -79.186363, 25, 13:39:27, 254.75, 63.69, 25.37
43.747768, -79.186470, 26, 13:39:58, 257.75, 64.44, 25.37
43.747699, -79.186637, 27, 13:40:29, 258.75, 64.87, 25.37
43.747619, -79.186714, 28, 13:40:59, 257.25, 64.62, 25.44
43.747646, -79.186752, 29, 13:41:30, 255.50, 63.88, 25.50
43.747631, -79.186759, 30, 13:42:01, 255.50, 64.06, 25.50
43.747604, -79.186904, 31, 13:42:32, 254.50, 63.56, 25.56
43.747444, -79.187255, 32, 13:43:03, 254.00, 63.25, 25.62
43.747306, -79.187500, 33, 13:43:33, 252.00, 63.13, 25.62
43.747226, -79.187606, 34, 13:44:04, 251.75, 62.88, 25.62
43.747119, -79.187759, 35, 13:44:35, 251.75, 63.00, 25.62
43.747119, -79.187866, 36, 13:45:06, 248.00, 62.00, 25.69
43.747127, -79.187866, 37, 13:45:37, 246.25, 61.88, 25.69
43.747127, -79.187858, 38, 13:46:08, 245.50, 61.31, 25.69
43.747108, -79.187858, 39, 13:46:38, 245.50, 61.13, 25.69
43.747127, -79.187873, 40, 13:47:09, 244.75, 61.06, 25.69
43.747131, -79.187866, 41, 13:47:40, 244.75, 61.19, 25.69
43.747104, -79.187889, 42, 13:48:11, 246.25, 61.19, 25.69
43.747093, -79.187904, 43, 13:48:42, 245.50, 61.31, 25.75
43.747112, -79.187911, 44, 13:49:13, 245.25, 61.31, 25.75
43.747127, -79.187927, 45, 13:49:43, 245.25, 61.50, 25.75
43.747119, -79.187904, 46, 13:50:14, 247.00, 61.81, 25.75
43.747123, -79.187881, 47, 13:50:45, 246.50, 61.81, 25.75
43.747146, -79.187858, 48, 13:51:16, 248.25, 62.00, 25.75
43.747154, -79.187835, 49, 13:51:47, 249.50, 62.38, 25.81
43.747112, -79.187881, 50, 13:52:18, 248.50, 61.75, 25.81
43.747104, -79.187889, 51, 13:52:48, 247.50, 62.00, 25.81
43.747108, -79.187881, 52, 13:53:19, 247.50, 61.88, 25.81
43.747116, -79.187881, 53, 13:53:50, 249.00, 62.00, 25.81
43.747116, -79.187881, 54, 13:54:21, 247.75, 62.00, 25.81
43.747112, -79.187881, 55, 13:54:52, 246.00, 61.63, 25.81
43.747112, -79.187881, 56, 13:55:23, 246.50, 61.50, 25.87
43.747119, -79.187866, 57, 13:55:53, 248.25, 61.63, 25.87
43.747001, -79.187995, 58, 13:56:24, 250.00, 62.50, 25.87
43.747047, -79.188056, 59, 13:56:55, 248.75, 62.06, 25.87
43.747055, -79.188171, 60, 13:57:26, 247.00, 61.88, 25.81
43.747051, -79.188148, 61, 13:57:57, 248.00, 61.94, 25.75
43.747051, -79.188171, 62, 13:58:27, 248.75, 62.31, 25.75
43.747039, -79.188179, 63, 13:58:58, 249.00, 62.44, 25.69
43.747066, -79.188171, 64, 13:59:29, 251.25, 62.88, 25.69
43.747097, -79.188179, 65, 14:00:00, 251.00, 62.94, 25.62
43.747028, -79.188034, 66, 14:00:31, 251.50, 63.38, 25.62
43.747360, -79.187438, 67, 14:01:02, 254.50, 63.63, 25.62
43.747627, -79.186897, 68, 14:01:32, 258.25, 64.50, 25.56
43.747772, -79.186851, 69, 14:02:03, 269.00, 67.44, 25.50
43.747699, -79.187446, 70, 14:02:34, 282.50, 70.81, 25.44
43.747505, -79.188003, 71, 14:03:05, 295.50, 73.62, 25.37
43.747333, -79.188560, 72, 14:03:36, 308.00, 77.06, 25.31
43.747585, -79.188972, 73, 14:04:07, 325.50, 81.31, 25.25
43.747714, -79.189331, 74, 14:04:37, 345.25, 86.87, 25.19
43.747959, -79.189704, 75, 14:05:08, 366.00, 91.62, 25.12
43.748130, -79.190063, 76, 14:05:39, 385.25, 96.37, 25.06
43.748352, -79.190368, 77, 14:06:10, 407.75, 101.81, 25.00
43.748607, -79.190620, 78, 14:06:41, 422.50, 106.00, 24.94
43.748836, -79.190582, 79, 14:07:12, 429.00, 106.94, 24.94
43.748542, -79.190460, 80, 14:07:42, 415.25, 103.81, 24.87
43.748317, -79.190177, 81, 14:08:13, 390.00, 97.12, 24.81
43.748203, -79.189735, 82, 14:08:44, 364.50, 90.75, 24.81
43.748058, -79.189575, 83, 14:09:15, 357.25, 89.81, 24.75
43.748218, -79.190078, 84, 14:09:46, 380.75, 95.69, 24.62
43.748508, -79.190376, 85, 14:10:17, 409.00, 102.75, 24.56
43.748855, -79.189979, 86, 14:10:47, 429.00, 107.12, 24.50
43.748828, -79.189964, 87, 14:11:18, 426.50, 106.44, 24.37
43.748565, -79.190299, 88, 14:11:49, 410.25, 102.44, 24.37
43.748310, -79.190101, 89, 14:12:20, 383.50, 95.69, 24.31
