latitude, longitude, datanum, time, pressure, altitude, temperature
44.231437, -76.613975, 1, 17:17:48, 321.50, 80.12, 32.44
44.231437, -76.613975, 2, 17:17:50, 320.75, 80.00, 32.56
44.231437, -76.613975, 3, 17:17:52, 319.25, 79.56, 32.69
44.231437, -76.613975, 4, 17:17:54, 317.00, 79.06, 32.81
44.231437, -76.613975, 5, 17:17:56, 315.50, 79.12, 32.94
44.231433, -76.613975, 6, 17:17:58, 317.00, 78.94, 33.06
44.231433, -76.613975, 7, 17:18:00, 315.75, 78.75, 33.13
44.231433, -76.613975, 8, 17:18:02, 317.00, 78.81, 33.19
44.231433, -76.613975, 9, 17:18:04, 319.00, 79.50, 33.31
44.231433, -76.613975, 10, 17:18:06, 318.00, 79.69, 33.38
44.231433, -76.613975, 11, 17:18:08, 318.75, 79.62, 33.44
44.231433, -76.613975, 12, 17:18:10, 319.50, 79.87, 33.50
44.231433, -76.613975, 13, 17:18:12, 320.75, 80.25, 33.56
44.231433, -76.613975, 14, 17:18:14, 321.25, 80.44, 33.63
44.231430, -76.613975, 15, 17:18:17, 321.25, 79.75, 33.75
44.231430, -76.613975, 16, 17:18:19, 319.25, 79.75, 33.94
44.231426, -76.613975, 17, 17:18:21, 319.50, 79.87, 34.06
44.231426, -76.613975, 18, 17:18:23, 320.25, 80.25, 34.19
44.231426, -76.613975, 19, 17:18:25, 318.75, 79.81, 34.31
44.231426, -76.613975, 20, 17:18:27, 317.75, 79.31, 34.38
44.231426, -76.613975, 21, 17:18:29, 317.00, 79.25, 34.50
44.231426, -76.613975, 22, 17:18:31, 316.50, 78.94, 34.63
44.231430, -76.613975, 23, 17:18:33, 316.50, 78.87, 34.75
44.231430, -76.613975, 24, 17:18:35, 315.50, 79.00, 34.81
44.231430, -76.613975, 25, 17:18:37, 316.00, 78.87, 34.81
44.231430, -76.613975, 26, 17:18:39, 315.50, 78.62, 34.88
44.231430, -76.613975, 27, 17:18:41, 315.50, 79.06, 35.00
44.231430, -76.613975, 28, 17:18:43, 317.00, 79.56, 34.94
44.231430, -76.613975, 29, 17:18:45, 317.25, 79.50, 34.94
44.231430, -76.613975, 30, 17:18:47, 318.25, 78.62, 34.94
44.231430, -76.613975, 31, 17:18:49, 311.00, 77.69, 35.00
44.231433, -76.613975, 32, 17:18:51, 311.75, 77.75, 35.13
44.231437, -76.613967, 33, 17:18:53, 314.50, 78.31, 35.13
44.231441, -76.613960, 34, 17:18:55, 314.50, 77.87, 35.25
44.231445, -76.613952, 35, 17:18:58, 311.00, 78.25, 35.31
44.231449, -76.613952, 36, 17:19:00, 315.75, 78.87, 35.31
44.231452, -76.613945, 37, 17:19:02, 315.50, 79.00, 35.38
44.231456, -76.613937, 38, 17:19:04, 315.50, 79.00, 35.44
44.231460, -76.613929, 39, 17:19:06, 316.25, 78.62, 35.50
44.231464, -76.613929, 40, 17:19:08, 312.50, 78.12, 35.56
44.231468, -76.613929, 41, 17:19:10, 311.50, 78.19, 35.69
44.231472, -76.613922, 42, 17:19:12, 314.50, 77.81, 35.75
44.231472, -76.613922, 43, 17:19:14, 309.50, 77.37, 35.88
44.231475, -76.613922, 44, 17:19:16, 311.00, 77.69, 35.94
44.231475, -76.613922, 45, 17:19:18, 314.50, 78.25, 36.06
44.231479, -76.613914, 46, 17:19:20, 314.25, 78.81, 36.13
44.231487, -76.613914, 47, 17:19:22, 317.00, 79.31, 36.13
44.231491, -76.613906, 48, 17:19:24, 317.50, 79.37, 36.19
44.231494, -76.613906, 49, 17:19:26, 318.00, 79.37, 36.31
44.231498, -76.613899, 50, 17:19:28, 315.00, 78.31, 36.44
44.231498, -76.613899, 51, 17:19:30, 313.50, 78.69, 36.56
44.231502, -76.613891, 52, 17:19:32, 314.75, 77.94, 36.69
44.231506, -76.613891, 53, 17:19:34, 313.00, 78.31, 36.75
44.231510, -76.613891, 54, 17:19:36, 312.75, 78.50, 36.88
44.231513, -76.613883, 55, 17:19:39, 314.50, 78.81, 36.94
44.231517, -76.613876, 56, 17:19:41, 312.75, 77.94, 36.94
44.231517, -76.613876, 57, 17:19:43, 310.00, 77.62, 37.06
44.231517, -76.613876, 58, 17:19:45, 311.00, 77.81, 37.13
44.231521, -76.613868, 59, 17:19:47, 313.00, 78.62, 37.13
44.231521, -76.613868, 60, 17:19:49, 315.25, 78.25, 37.25
44.231521, -76.613861, 61, 17:19:51, 311.50, 78.00, 37.38
44.231521, -76.613861, 62, 17:19:53, 314.00, 78.00, 37.50
44.231525, -76.613853, 63, 17:19:55, 310.00, 77.62, 37.56
44.231529, -76.613853, 64, 17:19:57, 309.50, 78.00, 37.63
44.231533, -76.613845, 65, 17:19:59, 311.00, 77.75, 37.69
44.231536, -76.613845, 66, 17:20:01, 312.75, 78.44, 37.75
44.231536, -76.613838, 67, 17:20:03, 312.50, 77.87, 37.81
44.231540, -76.613838, 68, 17:20:05, 308.75, 77.06, 37.81
44.231544, -76.613830, 69, 17:20:07, 308.25, 77.06, 37.88
44.231544, -76.613830, 70, 17:20:09, 307.00, 76.94, 38.00
44.231548, -76.613830, 71, 17:20:11, 309.00, 77.25, 38.00
44.231552, -76.613830, 72, 17:20:13, 307.75, 76.94, 38.13
44.231555, -76.613830, 73, 17:20:15, 310.00, 78.12, 38.25
44.231559, -76.613822, 74, 17:20:17, 315.75, 78.00, 38.31
44.231563, -76.613822, 75, 17:20:20, 311.50, 77.87, 38.44
44.231567, -76.613822, 76, 17:20:22, 313.00, 79.44, 38.50
44.231571, -76.613822, 77, 17:20:24, 320.75, 78.00, 38.63
44.231575, -76.613822, 78, 17:20:26, 314.50, 78.81, 38.69
44.231578, -76.613822, 79, 17:20:28, 317.00, 78.44, 38.75
44.231582, -76.613822, 80, 17:20:30, 311.75, 77.87, 38.81
44.231586, -76.613822, 81, 17:20:32, 311.50, 78.25, 38.88
44.231586, -76.613822, 82, 17:20:34, 313.50, 77.94, 39.00
44.231590, -76.613822, 83, 17:20:36, 312.00, 78.31, 39.06
44.231590, -76.613822, 84, 17:20:38, 313.50, 78.12, 39.19
44.231594, -76.613815, 85, 17:20:40, 313.75, 78.31, 39.31
44.231601, -76.613815, 86, 17:20:42, 312.25, 77.37, 39.38
44.231601, -76.613807, 87, 17:20:44, 310.00, 77.62, 39.50
44.231609, -76.613807, 88, 17:20:46, 309.00, 77.44, 39.56
44.231609, -76.613800, 89, 17:20:48, 309.25, 77.00, 39.69
44.231613, -76.613800, 90, 17:20:50, 305.75, 76.69, 39.81
44.231616, -76.613800, 91, 17:20:52, 308.50, 78.56, 39.88
