latitude, longitude, datanum, time, pressure, altitude, temperature
44.231533, -76.613929, 1, 16:04:42, 296.75, 73.75, 28.81
44.231506, -76.613929, 2, 16:04:46, 295.25, 73.62, 28.81
44.231491, -76.613929, 3, 16:04:50, 295.50, 73.94, 28.81
44.231475, -76.613922, 4, 16:04:54, 295.50, 74.12, 28.87
44.231464, -76.613922, 5, 16:04:58, 295.50, 73.81, 28.87
44.231460, -76.613914, 6, 16:05:02, 298.50, 74.25, 29.00
44.231464, -76.613906, 7, 16:05:06, 292.50, 73.31, 29.00
44.231472, -76.613891, 8, 16:05:10, 308.75, 77.50, 29.19
44.231472, -76.613883, 9, 16:05:15, 313.75, 78.75, 29.62
44.231475, -76.613876, 10, 16:05:19, 312.25, 77.94, 30.06
44.231479, -76.613861, 11, 16:05:23, 309.00, 77.94, 30.50
44.231483, -76.613853, 12, 16:05:27, 314.75, 78.44, 30.87
44.231487, -76.613845, 13, 16:05:31, 314.50, 78.25, 31.31
44.231491, -76.613838, 14, 16:05:35, 307.50, 76.94, 31.69
44.231494, -76.613830, 15, 16:05:39, 306.75, 76.37, 32.06
44.231494, -76.613815, 16, 16:05:43, 308.25, 77.25, 32.50
44.231498, -76.613807, 17, 16:05:47, 306.75, 76.31, 32.88
44.231506, -76.613792, 18, 16:05:52, 302.75, 75.56, 33.19
44.231510, -76.613784, 19, 16:05:56, 291.75, 72.25, 33.50
44.231513, -76.613777, 20, 16:06:00, 284.75, 71.19, 33.50
44.231513, -76.613769, 21, 16:06:04, 285.25, 71.50, 33.44
44.231510, -76.613761, 22, 16:06:08, 286.50, 71.50, 33.31
44.231513, -76.613754, 23, 16:06:12, 290.25, 71.81, 33.19
44.231521, -76.613739, 24, 16:06:16, 288.25, 72.62, 33.13
44.231525, -76.613731, 25, 16:06:20, 290.00, 72.62, 33.00
44.231529, -76.613716, 26, 16:06:24, 301.75, 75.56, 33.06
44.231540, -76.613708, 27, 16:06:28, 301.50, 75.19, 33.31
44.231548, -76.613716, 28, 16:06:33, 302.75, 75.75, 33.69
44.231559, -76.613708, 29, 16:06:37, 305.50, 75.75, 34.06
44.231559, -76.613700, 30, 16:06:41, 299.00, 75.19, 34.44
44.231555, -76.613700, 31, 16:06:45, 301.75, 75.44, 34.75
44.231559, -76.613693, 32, 16:06:49, 301.75, 75.69, 35.13
44.231559, -76.613677, 33, 16:06:53, 311.75, 77.62, 35.50
44.231559, -76.613670, 34, 16:06:57, 305.75, 76.19, 35.88
44.231567, -76.613662, 35, 16:07:01, 305.75, 77.50, 36.19
44.231575, -76.613655, 36, 16:07:05, 309.00, 77.19, 36.50
44.231578, -76.613647, 37, 16:07:09, 311.75, 77.62, 36.81
44.231586, -76.613639, 38, 16:07:14, 310.00, 77.12, 37.13
44.231586, -76.613632, 39, 16:07:18, 308.25, 77.12, 37.44
44.231590, -76.613624, 40, 16:07:22, 307.25, 76.69, 37.69
44.231586, -76.613616, 41, 16:07:26, 304.75, 76.06, 37.94
44.231586, -76.613601, 42, 16:07:30, 304.25, 76.19, 38.25
44.231590, -76.613594, 43, 16:07:34, 308.25, 77.25, 38.44
44.231590, -76.613586, 44, 16:07:38, 310.75, 77.62, 38.69
44.231597, -76.613571, 45, 16:07:42, 311.00, 77.62, 38.94
44.231605, -76.613563, 46, 16:07:46, 310.25, 77.50, 39.13
44.231616, -76.613563, 47, 16:07:50, 308.25, 76.81, 39.38
44.231616, -76.613555, 48, 16:07:55, 305.25, 76.12, 39.63
44.231616, -76.613555, 49, 16:07:59, 302.75, 75.87, 39.81
44.231616, -76.613548, 50, 16:08:03, 306.25, 76.50, 40.06
44.231616, -76.613548, 51, 16:08:07, 306.25, 76.69, 40.25
44.231616, -76.613540, 52, 16:08:11, 305.25, 75.69, 40.50
44.231620, -76.613540, 53, 16:08:15, 304.75, 76.06, 40.75
44.231624, -76.613540, 54, 16:08:19, 303.50, 75.31, 40.94
44.231624, -76.613540, 55, 16:08:23, 299.75, 74.81, 41.13
44.231628, -76.613533, 56, 16:08:27, 298.75, 74.69, 41.31
44.231636, -76.613533, 57, 16:08:31, 300.00, 74.56, 41.50
44.231636, -76.613533, 58, 16:08:36, 297.75, 74.44, 41.63
44.231639, -76.613525, 59, 16:08:40, 297.25, 73.69, 41.81
44.231643, -76.613517, 60, 16:08:44, 294.50, 73.87, 41.94
44.231639, -76.613517, 61, 16:08:48, 294.50, 73.87, 42.19
44.231632, -76.613517, 62, 16:08:52, 294.50, 74.00, 42.38
44.231628, -76.613517, 63, 16:08:56, 298.75, 76.44, 42.56
44.231632, -76.613510, 64, 16:09:00, 306.25, 77.06, 42.81
44.231632, -76.613494, 65, 16:09:04, 308.75, 76.81, 43.00
44.231636, -76.613479, 66, 16:09:08, 307.25, 76.75, 43.19
44.231647, -76.613471, 67, 16:09:12, 305.75, 76.19, 43.38
44.231651, -76.613456, 68, 16:09:16, 298.25, 74.81, 43.50
44.231658, -76.613441, 69, 16:09:21, 304.75, 76.44, 43.63
44.231662, -76.613426, 70, 16:09:25, 306.00, 76.37, 43.81
44.231670, -76.613418, 71, 16:09:29, 306.75, 76.62, 43.94
44.231674, -76.613410, 72, 16:09:33, 307.00, 76.69, 44.13
44.231681, -76.613395, 73, 16:09:37, 305.00, 76.44, 44.25
44.231685, -76.613395, 74, 16:09:41, 304.00, 76.06, 44.38
44.231685, -76.613403, 75, 16:09:45, 304.25, 76.25, 44.44
44.231685, -76.613403, 76, 16:09:49, 303.50, 75.69, 44.56
44.231689, -76.613403, 77, 16:09:53, 302.25, 75.50, 44.75
44.231685, -76.613403, 78, 16:09:57, 303.75, 76.19, 44.88
44.231681, -76.613403, 79, 16:10:01, 304.00, 76.12, 45.06
44.231678, -76.613403, 80, 16:10:06, 304.75, 75.87, 45.25
44.231674, -76.613395, 81, 16:10:10, 305.00, 76.31, 45.31
44.231674, -76.613395, 82, 16:10:14, 305.25, 76.56, 45.44
44.231678, -76.613388, 83, 16:10:18, 309.00, 77.56, 45.56
44.231674, -76.613372, 84, 16:10:22, 310.50, 77.56, 45.75
44.231678, -76.613357, 85, 16:10:26, 311.00, 78.00, 45.88
44.231685, -76.613349, 86, 16:10:30, 311.00, 78.06, 46.00
44.231685, -76.613334, 87, 16:10:34, 310.75, 77.69, 46.19
44.231693, -76.613327, 88, 16:10:38, 308.50, 77.06, 46.38
44.231700, -76.613319, 89, 16:10:42, 308.25, 76.69, 46.56
44.231708, -76.613304, 90, 16:10:46, 306.25, 76.19, 46.75
44.231708, -76.613304, 91, 16:10:51, 303.75, 75.87, 46.88
44.231712, -76.613296, 92, 16:10:55, 302.25, 75.31, 47.06
44.231712, -76.613296, 93, 16:10:59, 299.25, 74.81, 47.19
44.231716, -76.613288, 94, 16:11:03, 297.75, 74.69, 47.38
44.231712, -76.613288, 95, 16:11:07, 302.50, 76.19, 47.50
44.231716, -76.613288, 96, 16:11:09, 307.25, 76.69, 47.69
44.231712, -76.613288, 97, 16:11:13, 308.25, 77.25, 47.81
44.231712, -76.613281, 98, 16:11:17, 309.00, 77.19, 48.00
44.231712, -76.613265, 99, 16:11:21, 309.50, 77.37, 48.06
44.231716, -76.613250, 100, 16:11:25, 310.00, 77.00, 48.25
44.231727, -76.613243, 101, 16:11:29, 307.75, 76.87, 48.38
44.231739, -76.613227, 102, 16:11:34, 306.75, 76.44, 48.56
44.231742, -76.613220, 103, 16:11:38, 304.50, 76.87, 48.69
44.231742, -76.613220, 104, 16:11:42, 309.00, 77.50, 48.75
44.231742, -76.613204, 105, 16:11:46, 309.00, 77.50, 48.81
44.231746, -76.613197, 106, 16:11:50, 308.75, 77.19, 49.00
44.231746, -76.613182, 107, 16:11:54, 308.25, 77.06, 49.13
44.231750, -76.613174, 108, 16:11:58, 306.25, 76.25, 49.25
44.231758, -76.613174, 109, 16:12:02, 304.75, 76.00, 49.38
44.231758, -76.613182, 110, 16:12:06, 299.75, 74.56, 49.44
44.231758, -76.613189, 111, 16:12:10, 295.75, 74.12, 49.44
44.231761, -76.613182, 112, 16:12:14, 297.50, 74.25, 49.38
44.231773, -76.613166, 113, 16:12:19, 294.00, 73.31, 49.31
44.231781, -76.613151, 114, 16:12:23, 292.50, 73.19, 49.13
44.231784, -76.613143, 115, 16:12:27, 293.50, 73.50, 48.88
44.231784, -76.613143, 116, 16:12:31, 293.75, 73.69, 48.69
44.231788, -76.613143, 117, 16:12:35, 294.25, 73.50, 48.56
44.231788, -76.613143, 118, 16:12:39, 295.50, 74.81, 48.44
44.231788, -76.613143, 119, 16:12:43, 297.00, 74.25, 48.38
44.231788, -76.613136, 120, 16:12:47, 310.00, 77.62, 48.31
44.231784, -76.613128, 121, 16:12:51, 304.50, 76.75, 48.44
44.231788, -76.613128, 122, 16:12:55, 310.25, 77.62, 48.50
44.231788, -76.613121, 123, 16:12:59, 311.00, 77.56, 48.69
44.231792, -76.613121, 124, 16:13:04, 310.50, 77.94, 48.88
44.231796, -76.613121, 125, 16:13:08, 310.75, 77.62, 49.00
44.231796, -76.613113, 126, 16:13:12, 309.00, 77.44, 49.19
44.231796, -76.613113, 127, 16:13:16, 309.75, 77.31, 49.31
44.231796, -76.613113, 128, 16:13:20, 305.25, 75.31, 49.50
44.231807, -76.613105, 129, 16:13:24, 296.00, 75.81, 49.31
44.231815, -76.613090, 130, 16:13:28, 306.25, 76.00, 49.38
44.231822, -76.613075, 131, 16:13:32, 295.00, 73.56, 49.19
44.231834, -76.613067, 132, 16:13:36, 292.25, 72.94, 49.00
44.231834, -76.613059, 133, 16:13:40, 290.75, 73.06, 48.69
44.231842, -76.613052, 134, 16:13:44, 293.75, 73.50, 48.38
44.231857, -76.613044, 135, 16:13:49, 294.50, 73.75, 48.13
44.231864, -76.613029, 136, 16:13:53, 295.50, 73.75, 47.81
44.231864, -76.613029, 137, 16:13:57, 292.50, 72.69, 47.56
44.231864, -76.613029, 138, 16:14:01, 288.25, 72.50, 47.25
44.231864, -76.613021, 139, 16:14:05, 292.25, 73.25, 47.00
44.231868, -76.613021, 140, 16:14:09, 293.75, 73.37, 46.75
44.231876, -76.613021, 141, 16:14:13, 294.50, 73.87, 46.56
44.231876, -76.613021, 142, 16:14:17, 297.00, 74.12, 46.31
44.231876, -76.613029, 143, 16:14:21, 299.25, 74.56, 46.13
44.231876, -76.613029, 144, 16:14:25, 298.75, 74.81, 45.88
44.231884, -76.613021, 145, 16:14:29, 298.00, 74.00, 45.56
44.231887, -76.613014, 146, 16:14:34, 294.00, 73.12, 45.38
44.231895, -76.613006, 147, 16:14:38, 295.00, 73.62, 45.13
44.231899, -76.612998, 148, 16:14:42, 295.75, 74.12, 45.06
44.231899, -76.612998, 149, 16:14:46, 310.50, 77.50, 45.13
44.231903, -76.613006, 150, 16:14:50, 312.00, 77.25, 45.31
44.231906, -76.613006, 151, 16:14:54, 297.00, 73.62, 45.38
44.231910, -76.612998, 152, 16:14:58, 306.00, 76.50, 45.19
44.231914, -76.612991, 153, 16:15:02, 306.50, 75.87, 45.25
44.231922, -76.612983, 154, 16:15:06, 301.25, 75.06, 45.31
44.231918, -76.612991, 155, 16:15:10, 295.00, 73.81, 45.25
44.231918, -76.612991, 156, 16:15:14, 295.75, 74.25, 45.00
44.231918, -76.612991, 157, 16:15:19, 300.00, 75.25, 44.50
44.231910, -76.612991, 158, 16:15:23, 307.75, 76.94, 44.25
44.231910, -76.612983, 159, 16:15:27, 303.00, 75.62, 44.00
44.231906, -76.612983, 160, 16:15:31, 302.75, 75.56, 43.75
44.231906, -76.612976, 161, 16:15:35, 315.00, 78.56, 43.81
44.231910, -76.612976, 162, 16:15:39, 313.25, 78.25, 43.94
44.231910, -76.612976, 163, 16:15:43, 312.75, 78.06, 44.19
44.231906, -76.612976, 164, 16:15:47, 313.50, 78.56, 44.19
44.231903, -76.612960, 165, 16:15:51, 314.00, 78.50, 44.25
44.231895, -76.612953, 166, 16:15:55, 314.25, 78.69, 44.38
44.231887, -76.612945, 167, 16:15:59, 312.50, 78.19, 44.56
44.231884, -76.612930, 168, 16:16:04, 311.25, 78.00, 44.75
44.231884, -76.612915, 169, 16:16:08, 312.00, 77.87, 44.88
44.231887, -76.612899, 170, 16:16:12, 311.25, 77.87, 45.06
44.231891, -76.612899, 171, 16:16:16, 314.00, 78.75, 45.25
44.231887, -76.612899, 172, 16:16:20, 319.25, 79.75, 45.44
44.231891, -76.612884, 173, 16:16:24, 319.25, 79.94, 45.56
44.231895, -76.612869, 174, 16:16:28, 321.25, 80.12, 45.69
44.231899, -76.612861, 175, 16:16:32, 321.25, 80.19, 45.75
44.231906, -76.612846, 176, 16:16:36, 318.50, 79.75, 45.88
44.231914, -76.612838, 177, 16:16:40, 317.25, 79.06, 46.06
44.231918, -76.612831, 178, 16:16:44, 319.50, 79.50, 46.13
44.231918, -76.612831, 179, 16:16:49, 315.25, 78.56, 46.38
44.231914, -76.612823, 180, 16:16:53, 313.50, 78.37, 46.63
44.231914, -76.612823, 181, 16:16:57, 311.50, 78.00, 46.81
44.231914, -76.612831, 182, 16:17:01, 310.25, 77.56, 47.06
44.231910, -76.612831, 183, 16:17:05, 311.50, 78.00, 47.25
44.231918, -76.612831, 184, 16:17:09, 312.75, 78.50, 47.44
44.231922, -76.612831, 185, 16:17:13, 316.25, 78.87, 47.50
44.231925, -76.612831, 186, 16:17:17, 316.00, 79.00, 47.69
44.231922, -76.612838, 187, 16:17:21, 317.00, 79.12, 47.81
44.231922, -76.612838, 188, 16:17:25, 316.50, 78.87, 47.88
44.231925, -76.612823, 189, 16:17:29, 313.75, 78.50, 47.94
44.231937, -76.612808, 190, 16:17:34, 313.50, 77.81, 48.06
44.231948, -76.612808, 191, 16:17:38, 309.00, 77.37, 48.25
44.231952, -76.612800, 192, 16:17:42, 312.50, 77.87, 48.38
44.231952, -76.612800, 193, 16:17:46, 311.25, 77.75, 48.44
44.231960, -76.612792, 194, 16:17:50, 311.25, 77.25, 48.56
44.231971, -76.612785, 195, 16:17:54, 312.25, 78.00, 48.63
44.231971, -76.612785, 196, 16:17:58, 308.75, 76.44, 48.81
44.231967, -76.612785, 197, 16:18:02, 298.25, 74.25, 48.75
44.231967, -76.612785, 198, 16:18:06, 297.00, 74.06, 48.56
44.231967, -76.612785, 199, 16:18:10, 297.00, 74.12, 48.31
44.231971, -76.612777, 200, 16:18:14, 298.25, 74.75, 48.06
44.231971, -76.612777, 201, 16:18:19, 298.75, 74.94, 47.75
44.231967, -76.612777, 202, 16:18:23, 296.25, 73.62, 47.56
44.231964, -76.612770, 203, 16:18:27, 293.50, 73.25, 47.31
44.231964, -76.612777, 204, 16:18:31, 294.00, 73.81, 47.00
44.231967, -76.612770, 205, 16:18:35, 299.25, 74.62, 46.75
44.231979, -76.612762, 206, 16:18:39, 301.25, 75.44, 46.50
44.231986, -76.612754, 207, 16:18:43, 303.75, 75.94, 46.38
44.231998, -76.612747, 208, 16:18:47, 305.25, 76.12, 46.25
44.232006, -76.612747, 209, 16:18:51, 303.75, 76.31, 46.13
44.232006, -76.612747, 210, 16:18:55, 303.50, 76.06, 45.94
44.232009, -76.612747, 211, 16:18:59, 304.00, 75.56, 45.63
44.232006, -76.612747, 212, 16:19:04, 296.25, 74.31, 45.25
44.232009, -76.612754, 213, 16:19:08, 296.50, 74.44, 45.25
44.232009, -76.612754, 214, 16:19:12, 299.25, 74.37, 45.25
44.232009, -76.612754, 215, 16:19:16, 298.25, 74.44, 45.25
44.232013, -76.612754, 216, 16:19:20, 296.50, 74.12, 45.13
44.232013, -76.612754, 217, 16:19:24, 295.50, 74.06, 45.00
44.232021, -76.612747, 218, 16:19:28, 296.00, 73.81, 44.88
44.232017, -76.612747, 219, 16:19:32, 297.00, 74.56, 44.69
44.232017, -76.612747, 220, 16:19:36, 299.75, 75.19, 44.56
44.232017, -76.612747, 221, 16:19:40, 301.00, 75.25, 44.38
44.232021, -76.612731, 222, 16:19:45, 300.25, 74.87, 44.25
44.232025, -76.612724, 223, 16:19:49, 300.50, 75.25, 44.13
44.232032, -76.612716, 224, 16:19:53, 305.75, 77.31, 44.13
44.232036, -76.612709, 225, 16:19:57, 312.00, 77.75, 44.38
44.232036, -76.612709, 226, 16:20:01, 305.75, 75.69, 44.63
44.232025, -76.612716, 227, 16:20:05, 300.25, 74.94, 44.81
44.232017, -76.612724, 228, 16:20:09, 298.00, 74.75, 44.88
44.232009, -76.612731, 229, 16:20:13, 307.75, 77.44, 44.88
44.232006, -76.612747, 230, 16:20:17, 299.25, 75.19, 44.88
44.232002, -76.612754, 231, 16:20:21, 300.25, 74.87, 44.75
44.232006, -76.612754, 232, 16:20:25, 309.75, 78.37, 44.75
44.232006, -76.612762, 233, 16:20:30, 314.25, 78.62, 44.88
44.232006, -76.612777, 234, 16:20:34, 314.75, 78.81, 45.06
44.232006, -76.612792, 235, 16:20:38, 316.00, 78.81, 45.19
44.232002, -76.612808, 236, 16:20:42, 319.00, 79.37, 45.31
44.232006, -76.612823, 237, 16:20:46, 317.00, 79.12, 45.31
44.232009, -76.612838, 238, 16:20:50, 318.50, 79.50, 45.38
44.232013, -76.612861, 239, 16:20:54, 314.50, 78.31, 45.31
44.232017, -76.612876, 240, 16:20:58, 314.50, 79.00, 45.31
44.232013, -76.612869, 241, 16:21:02, 312.50, 78.94, 45.44
44.232009, -76.612869, 242, 16:21:06, 312.75, 78.69, 45.31
44.232006, -76.612869, 243, 16:21:10, 315.50, 78.75, 45.44
44.231998, -76.612869, 244, 16:21:15, 316.75, 79.37, 45.63
44.231990, -76.612869, 245, 16:21:19, 318.00, 79.12, 45.75
44.231986, -76.612869, 246, 16:21:23, 307.25, 76.87, 45.75
44.231983, -76.612869, 247, 16:21:27, 305.75, 76.12, 45.75
44.231971, -76.612869, 248, 16:21:31, 304.50, 76.06, 45.63
44.231964, -76.612876, 249, 16:21:35, 302.50, 75.56, 45.56
44.231952, -76.612876, 250, 16:21:39, 301.00, 74.87, 45.44
44.231945, -76.612876, 251, 16:21:43, 298.75, 76.94, 45.13
44.231945, -76.612884, 252, 16:21:47, 310.00, 77.00, 45.06
44.231945, -76.612884, 253, 16:21:51, 304.75, 75.31, 45.06
44.231941, -76.612884, 254, 16:21:55, 299.25, 74.75, 45.06
44.231933, -76.612892, 255, 16:22:00, 299.50, 74.69, 44.94
44.231929, -76.612892, 256, 16:22:04, 300.00, 74.81, 44.88
44.231918, -76.612884, 257, 16:22:08, 299.00, 76.19, 44.75
44.231910, -76.612884, 258, 16:22:12, 306.25, 76.81, 44.75
44.231910, -76.612892, 259, 16:22:16, 308.25, 75.19, 44.88
44.231910, -76.612884, 260, 16:22:20, 300.75, 74.87, 44.81
44.231903, -76.612884, 261, 16:22:24, 300.50, 75.06, 44.75
44.231899, -76.612892, 262, 16:22:28, 299.25, 75.12, 44.75
44.231891, -76.612899, 263, 16:22:32, 301.50, 75.31, 44.63
44.231880, -76.612899, 264, 16:22:36, 302.00, 75.50, 44.56
44.231876, -76.612899, 265, 16:22:40, 303.50, 76.00, 44.44
44.231872, -76.612907, 266, 16:22:45, 305.25, 76.00, 44.44
44.231864, -76.612907, 267, 16:22:49, 303.00, 75.75, 44.38
