latitude, longitude, datanum, time, pressure, altitude, temperature
44.231533, -76.613929, 1, 16:04:42, 296.75, 73.75, 28.81
44.231475, -76.613922, 2, 16:04:54, 295.50, 74.12, 28.87
44.231464, -76.613906, 3, 16:05:06, 292.50, 73.31, 29.00
44.231475, -76.613876, 4, 16:05:19, 312.25, 77.94, 30.06
44.231487, -76.613845, 5, 16:05:31, 314.50, 78.25, 31.31
44.231494, -76.613815, 6, 16:05:43, 308.25, 77.25, 32.50
44.231510, -76.613784, 7, 16:05:56, 291.75, 72.25, 33.50
44.231510, -76.613761, 8, 16:06:08, 286.50, 71.50, 33.31
44.231525, -76.613731, 9, 16:06:20, 290.00, 72.62, 33.00
44.231548, -76.613716, 10, 16:06:33, 302.75, 75.75, 33.69
44.231555, -76.613700, 11, 16:06:45, 301.75, 75.44, 34.75
44.231559, -76.613670, 12, 16:06:57, 305.75, 76.19, 35.88
44.231578, -76.613647, 13, 16:07:09, 311.75, 77.62, 36.81
44.231590, -76.613624, 14, 16:07:22, 307.25, 76.69, 37.69
44.231590, -76.613594, 15, 16:07:34, 308.25, 77.25, 38.44
44.231605, -76.613563, 16, 16:07:46, 310.25, 77.50, 39.13
44.231616, -76.613555, 17, 16:07:59, 302.75, 75.87, 39.81
44.231616, -76.613540, 18, 16:08:11, 305.25, 75.69, 40.50
44.231624, -76.613540, 19, 16:08:23, 299.75, 74.81, 41.13
44.231636, -76.613533, 20, 16:08:36, 297.75, 74.44, 41.63
44.231639, -76.613517, 21, 16:08:48, 294.50, 73.87, 42.19
44.231632, -76.613510, 22, 16:09:00, 306.25, 77.06, 42.81
44.231647, -76.613471, 23, 16:09:12, 305.75, 76.19, 43.38
44.231662, -76.613426, 24, 16:09:25, 306.00, 76.37, 43.81
44.231681, -76.613395, 25, 16:09:37, 305.00, 76.44, 44.25
44.231685, -76.613403, 26, 16:09:49, 303.50, 75.69, 44.56
44.231681, -76.613403, 27, 16:10:01, 304.00, 76.12, 45.06
44.231674, -76.613395, 28, 16:10:14, 305.25, 76.56, 45.44
44.231678, -76.613357, 29, 16:10:26, 311.00, 78.00, 45.88
44.231693, -76.613327, 30, 16:10:38, 308.50, 77.06, 46.38
44.231708, -76.613304, 31, 16:10:51, 303.75, 75.87, 46.88
44.231716, -76.613288, 32, 16:11:03, 297.75, 74.69, 47.38
44.231712, -76.613288, 33, 16:11:13, 308.25, 77.25, 47.81
44.231716, -76.613250, 34, 16:11:25, 310.00, 77.00, 48.25
44.231742, -76.613220, 35, 16:11:38, 304.50, 76.87, 48.69
44.231746, -76.613197, 36, 16:11:50, 308.75, 77.19, 49.00
44.231758, -76.613174, 37, 16:12:02, 304.75, 76.00, 49.38
44.231761, -76.613182, 38, 16:12:14, 297.50, 74.25, 49.38
44.231784, -76.613143, 39, 16:12:27, 293.50, 73.50, 48.88
44.231788, -76.613143, 40, 16:12:39, 295.50, 74.81, 48.44
44.231784, -76.613128, 41, 16:12:51, 304.50, 76.75, 48.44
44.231792, -76.613121, 42, 16:13:04, 310.50, 77.94, 48.88
44.231796, -76.613113, 43, 16:13:16, 309.75, 77.31, 49.31
44.231815, -76.613090, 44, 16:13:28, 306.25, 76.00, 49.38
44.231834, -76.613059, 45, 16:13:40, 290.75, 73.06, 48.69
44.231864, -76.613029, 46, 16:13:53, 295.50, 73.75, 47.81
44.231864, -76.613021, 47, 16:14:05, 292.25, 73.25, 47.00
44.231876, -76.613021, 48, 16:14:17, 297.00, 74.12, 46.31
44.231884, -76.613021, 49, 16:14:29, 298.00, 74.00, 45.56
44.231899, -76.612998, 50, 16:14:42, 295.75, 74.12, 45.06
44.231906, -76.613006, 51, 16:14:54, 297.00, 73.62, 45.38
44.231922, -76.612983, 52, 16:15:06, 301.25, 75.06, 45.31
44.231918, -76.612991, 53, 16:15:19, 300.00, 75.25, 44.50
44.231906, -76.612983, 54, 16:15:31, 302.75, 75.56, 43.75
44.231910, -76.612976, 55, 16:15:43, 312.75, 78.06, 44.19
44.231895, -76.612953, 56, 16:15:55, 314.25, 78.69, 44.38
44.231884, -76.612915, 57, 16:16:08, 312.00, 77.87, 44.88
44.231887, -76.612899, 58, 16:16:20, 319.25, 79.75, 45.44
44.231899, -76.612861, 59, 16:16:32, 321.25, 80.19, 45.75
44.231918, -76.612831, 60, 16:16:44, 319.50, 79.50, 46.13
44.231914, -76.612823, 61, 16:16:57, 311.50, 78.00, 46.81
44.231918, -76.612831, 62, 16:17:09, 312.75, 78.50, 47.44
44.231922, -76.612838, 63, 16:17:21, 317.00, 79.12, 47.81
44.231937, -76.612808, 64, 16:17:34, 313.50, 77.81, 48.06
44.231952, -76.612800, 65, 16:17:46, 311.25, 77.75, 48.44
44.231971, -76.612785, 66, 16:17:58, 308.75, 76.44, 48.81
44.231967, -76.612785, 67, 16:18:10, 297.00, 74.12, 48.31
44.231967, -76.612777, 68, 16:18:23, 296.25, 73.62, 47.56
44.231967, -76.612770, 69, 16:18:35, 299.25, 74.62, 46.75
44.231998, -76.612747, 70, 16:18:47, 305.25, 76.12, 46.25
44.232009, -76.612747, 71, 16:18:59, 304.00, 75.56, 45.63
44.232009, -76.612754, 72, 16:19:12, 299.25, 74.37, 45.25
44.232013, -76.612754, 73, 16:19:24, 295.50, 74.06, 45.00
44.232017, -76.612747, 74, 16:19:36, 299.75, 75.19, 44.56
44.232025, -76.612724, 75, 16:19:49, 300.50, 75.25, 44.13
44.232036, -76.612709, 76, 16:20:01, 305.75, 75.69, 44.63
44.232009, -76.612731, 77, 16:20:13, 307.75, 77.44, 44.88
44.232006, -76.612754, 78, 16:20:25, 309.75, 78.37, 44.75
44.232006, -76.612792, 79, 16:20:38, 316.00, 78.81, 45.19
44.232009, -76.612838, 80, 16:20:50, 318.50, 79.50, 45.38
44.232013, -76.612869, 81, 16:21:02, 312.50, 78.94, 45.44
44.231998, -76.612869, 82, 16:21:15, 316.75, 79.37, 45.63
44.231983, -76.612869, 83, 16:21:27, 305.75, 76.12, 45.75
44.231952, -76.612876, 84, 16:21:39, 301.00, 74.87, 45.44
44.231945, -76.612884, 85, 16:21:51, 304.75, 75.31, 45.06
44.231929, -76.612892, 86, 16:22:04, 300.00, 74.81, 44.88
44.231910, -76.612892, 87, 16:22:16, 308.25, 75.19, 44.88
44.231899, -76.612892, 88, 16:22:28, 299.25, 75.12, 44.75
44.231876, -76.612899, 89, 16:22:40, 303.50, 76.00, 44.44
44.231857, -76.612907, 90, 16:22:53, 311.25, 78.50, 44.31
44.231838, -76.612915, 91, 16:23:05, 314.50, 78.50, 44.75
44.231834, -76.612907, 92, 16:23:17, 316.75, 79.81, 45.19
44.231830, -76.612899, 93, 16:23:30, 325.50, 81.19, 45.69
44.231822, -76.612876, 94, 16:23:42, 324.00, 80.62, 45.94
44.231819, -76.612854, 95, 16:23:54, 321.00, 80.06, 46.38
44.231815, -76.612831, 96, 16:24:06, 319.00, 79.25, 46.69
44.231807, -76.612792, 97, 16:24:19, 313.50, 78.62, 47.06
44.231826, -76.612792, 98, 16:24:31, 318.50, 79.56, 47.31
44.231834, -76.612785, 99, 16:24:43, 319.50, 79.81, 47.81
44.231830, -76.612777, 100, 16:24:55, 313.25, 78.12, 48.38
44.231811, -76.612777, 101, 16:25:08, 311.00, 78.12, 48.75
44.231796, -76.612762, 102, 16:25:20, 311.00, 77.62, 49.38
44.231788, -76.612770, 103, 16:25:32, 306.50, 76.31, 49.75
44.231781, -76.612770, 104, 16:25:45, 305.50, 76.56, 49.63
44.231761, -76.612770, 105, 16:25:57, 317.75, 79.62, 49.81
44.231761, -76.612777, 106, 16:26:09, 301.75, 75.31, 50.00
