latitude, longitude, datanum, time, pressure, altitude, temperature
*, *, 1, 00:00:00, 297.00, 74.25, 31.12
*, *, 2, 00:00:00, 298.75, 74.62, 31.31
*, *, 3, 00:00:00, 297.00, 74.56, 31.44
*, *, 4, 00:00:00, 297.75, 74.37, 31.56
*, *, 5, 00:00:00, 297.50, 74.25, 31.75
*, *, 6, 18:10:49, 296.00, 73.62, 31.87
*, *, 7, 18:10:51, 294.00, 72.81, 32.06
*, *, 8, 18:10:53, 291.25, 72.50, 32.25
*, *, 9, 18:10:55, 291.00, 72.44, 32.38
*, *, 10, 18:10:57, 290.50, 73.00, 32.50
*, *, 11, 18:10:59, 293.50, 73.56, 32.63
*, *, 12, 18:11:01, 295.00, 73.81, 32.81
*, *, 13, 18:11:03, 294.25, 73.37, 32.94
*, *, 14, 18:11:05, 293.25, 73.00, 33.06
*, *, 15, 18:11:07, 291.75, 72.56, 33.25
*, *, 16, 18:11:09, 289.00, 72.69, 33.38
*, *, 17, 18:11:11, 292.00, 72.94, 33.56
*, *, 18, 18:11:13, 293.25, 73.75, 33.63
*, *, 19, 18:11:15, 295.00, 74.06, 33.75
*, *, 20, 18:11:17, 297.00, 74.19, 33.94
*, *, 21, 18:11:19, 297.50, 74.12, 34.06
*, *, 22, 18:11:21, 296.75, 74.19, 34.13
*, *, 23, 18:11:24, 296.50, 73.75, 34.25
*, *, 24, 18:11:26, 297.75, 74.00, 34.25
*, *, 25, 18:11:28, 296.25, 73.87, 34.38
*, *, 26, 18:11:30, 295.75, 73.94, 34.50
*, *, 27, 18:11:32, 296.00, 73.62, 34.63
44.231521, -76.613800, 28, 18:11:34, 294.00, 73.44, 34.69
44.231525, -76.613800, 29, 18:11:36, 295.00, 73.31, 34.75
44.231529, -76.613800, 30, 18:11:38, 293.00, 73.19, 34.88
44.231536, -76.613800, 31, 18:11:40, 293.00, 73.25, 34.94
44.231544, -76.613792, 32, 18:11:42, 291.50, 73.06, 35.00
44.231555, -76.613777, 33, 18:11:44, 291.25, 72.69, 35.13
44.231555, -76.613769, 34, 18:11:46, 290.50, 73.19, 35.31
44.231559, -76.613761, 35, 18:11:48, 295.25, 74.25, 35.44
44.231563, -76.613761, 36, 18:11:50, 299.75, 75.19, 35.56
44.231575, -76.613761, 37, 18:11:52, 300.75, 75.25, 35.69
44.231578, -76.613761, 38, 18:11:54, 300.50, 75.44, 35.81
44.231586, -76.613769, 39, 18:11:56, 305.50, 76.19, 35.94
44.231597, -76.613769, 40, 18:11:58, 305.00, 76.37, 36.06
44.231601, -76.613769, 41, 18:12:00, 304.25, 77.19, 36.19
44.231609, -76.613777, 42, 18:12:02, 310.50, 77.37, 36.31
44.231609, -76.613777, 43, 18:12:04, 310.50, 77.25, 36.44
44.231605, -76.613792, 44, 18:12:07, 308.50, 75.94, 36.56
44.231601, -76.613800, 45, 18:12:09, 308.50, 75.75, 36.63
44.231590, -76.613807, 46, 18:12:11, 304.75, 76.81, 36.75
44.231582, -76.613815, 47, 18:12:13, 307.25, 76.81, 36.81
44.231575, -76.613822, 48, 18:12:15, 305.50, 74.44, 36.88
44.231571, -76.613838, 49, 18:12:17, 297.00, 75.31, 36.88
44.231567, -76.613845, 50, 18:12:19, 306.75, 74.25, 36.94
44.231563, -76.613853, 51, 18:12:21, 295.75, 73.56, 36.94
44.231559, -76.613853, 52, 18:12:23, 296.50, 73.75, 36.94
44.231559, -76.613861, 53, 18:12:25, 295.00, 73.75, 36.94
44.231555, -76.613861, 54, 18:12:27, 293.50, 74.87, 36.94
44.231555, -76.613868, 55, 18:12:29, 294.50, 75.50, 36.94
44.231552, -76.613876, 56, 18:12:31, 295.25, 75.06, 36.94
44.231552, -76.613883, 57, 18:12:33, 304.75, 74.00, 37.00
44.231552, -76.613883, 58, 18:12:35, 292.25, 73.56, 37.00
44.231552, -76.613876, 59, 18:12:37, 291.25, 73.12, 37.00
44.231552, -76.613883, 60, 18:12:39, 288.50, 72.00, 36.94
44.231552, -76.613883, 61, 18:12:41, 288.50, 72.94, 36.88
44.231552, -76.613883, 62, 18:12:43, 291.75, 71.62, 36.75
44.231548, -76.613883, 63, 18:12:45, 286.75, 72.25, 36.63
44.231544, -76.613883, 64, 18:12:47, 293.00, 72.50, 36.38
44.231533, -76.613883, 65, 18:12:50, 281.50, 70.31, 36.25
44.231529, -76.613883, 66, 18:12:52, 281.25, 70.50, 36.06
44.231521, -76.613891, 67, 18:12:54, 289.00, 75.94, 35.94
44.231517, -76.613891, 68, 18:12:56, 292.50, 76.06, 35.88
44.231510, -76.613891, 69, 18:12:58, 305.25, 76.50, 35.88
44.231506, -76.613891, 70, 18:13:00, 305.25, 76.44, 35.94
44.231498, -76.613899, 71, 18:13:02, 304.75, 76.00, 35.94
44.231494, -76.613899, 72, 18:13:04, 304.75, 76.69, 36.06
44.231487, -76.613899, 73, 18:13:06, 307.50, 77.06, 36.06
44.231487, -76.613899, 74, 18:13:08, 307.00, 77.06, 36.06
44.231483, -76.613899, 75, 18:13:10, 308.25, 76.87, 36.06
44.231479, -76.613906, 76, 18:13:12, 306.75, 77.81, 36.19
44.231479, -76.613906, 77, 18:13:14, 311.00, 77.44, 36.06
44.231479, -76.613899, 78, 18:13:16, 310.00, 77.19, 36.06
44.231479, -76.613899, 79, 18:13:18, 310.00, 77.62, 36.13
44.231479, -76.613891, 80, 18:13:20, 310.25, 77.19, 36.13
44.231479, -76.613891, 81, 18:13:22, 309.25, 77.50, 36.25
44.231479, -76.613883, 82, 18:13:24, 308.25, 77.06, 36.31
44.231483, -76.613883, 83, 18:13:26, 309.00, 77.25, 36.31
44.231483, -76.613868, 84, 18:13:28, 307.75, 77.25, 36.38
44.231483, -76.613861, 85, 18:13:31, 308.25, 77.25, 36.44
44.231483, -76.613853, 86, 18:13:33, 309.50, 77.06, 36.50
44.231483, -76.613845, 87, 18:13:35, 307.50, 76.69, 36.63
44.231483, -76.613838, 88, 18:13:37, 305.75, 75.50, 36.75
44.231483, -76.613838, 89, 18:13:39, 303.50, 74.81, 36.88
44.231483, -76.613830, 90, 18:13:41, 299.50, 74.50, 37.00
44.231483, -76.613830, 91, 18:13:43, 296.25, 74.31, 37.13
44.231491, -76.613830, 92, 18:13:45, 299.50, 73.44, 37.25
44.231494, -76.613830, 93, 18:13:47, 294.25, 74.69, 37.44
44.231498, -76.613830, 94, 18:13:49, 298.50, 75.06, 37.50
44.231502, -76.613830, 95, 18:13:51, 303.50, 75.50, 37.63
44.231510, -76.613838, 96, 18:13:53, 302.75, 76.06, 37.75
44.231513, -76.613838, 97, 18:13:55, 302.25, 75.56, 37.81
44.231517, -76.613838, 98, 18:13:57, 301.25, 75.50, 37.94
44.231521, -76.613838, 99, 18:13:59, 304.00, 75.56, 38.06
44.231525, -76.613845, 100, 18:14:01, 300.75, 75.87, 38.19
44.231529, -76.613845, 101, 18:14:03, 305.00, 76.56, 38.31
44.231533, -76.613853, 102, 18:14:05, 305.75, 76.81, 38.38
44.231536, -76.613853, 103, 18:14:07, 309.00, 77.12, 38.44
44.231536, -76.613861, 104, 18:14:09, 298.25, 76.06, 38.50
44.231536, -76.613861, 105, 18:14:11, 304.25, 76.50, 38.63
44.231533, -76.613868, 106, 18:14:14, 294.50, 74.25, 38.56
44.231529, -76.613876, 107, 18:14:16, 296.00, 75.94, 38.56
44.231525, -76.613883, 108, 18:14:18, 296.00, 73.37, 38.63
44.231525, -76.613883, 109, 18:14:20, 304.25, 76.31, 38.56
44.231525, -76.613883, 110, 18:14:22, 305.75, 76.25, 38.63
44.231525, -76.613883, 111, 18:14:24, 306.75, 76.69, 38.56
44.231521, -76.613883, 112, 18:14:26, 307.50, 76.75, 38.56
44.231521, -76.613883, 113, 18:14:28, 307.25, 76.94, 38.63
44.231521, -76.613883, 114, 18:14:30, 307.75, 77.06, 38.50
44.231521, -76.613876, 115, 18:14:32, 309.00, 77.50, 38.38
44.231517, -76.613876, 116, 18:14:34, 307.75, 76.12, 38.19
44.231517, -76.613868, 117, 18:14:36, 302.75, 74.94, 38.31
44.231517, -76.613868, 118, 18:14:38, 294.50, 73.25, 38.31
44.231517, -76.613868, 119, 18:14:40, 291.75, 72.87, 38.38
44.231517, -76.613868, 120, 18:14:42, 295.75, 73.25, 38.44
44.231521, -76.613868, 121, 18:14:44, 295.50, 74.06, 38.50
44.231521, -76.613868, 122, 18:14:46, 300.25, 75.81, 38.63
44.231525, -76.613868, 123, 18:14:48, 305.75, 74.87, 38.69
44.231529, -76.613876, 124, 18:14:50, 302.75, 76.31, 38.81
44.231525, -76.613876, 125, 18:14:52, 303.50, 73.94, 38.88
44.231525, -76.613883, 126, 18:14:55, 291.25, 75.69, 38.88
